,No,Kode Baru,Nama Bahan Makanan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019
94,186,FP041,Chicken teriyaki. masakan,68.2,168,13.0,9.6,7.5,0.8,1.7,137.0,106.0,3.1,959.0,,,,68.0,,2.2,0.65,,,,100.0,Olahan,Daging,KZGMS-1993
95,187,FP042,Chikiniku. masakan,65.4,143,9.8,1.4,22.8,0.4,0.6,301.0,63.0,2.0,531.0,,,,27.0,,1.28,0.73,,,,100.0,Olahan,Daging,KZGMS-1993
96,189,MP001,Coklat manis. batang,1.4,527,2.0,29.8,62.7,6.5,4.1,63.0,287.0,2.8,6.0,499.5,,0.0,,,30.0,0.03,0.02,,,100.0,Olahan,Gula,DABM-1964
97,190,MP002,Coklat pahit.batang,2.3,615,5.5,42.6,29.2,10.8,10.1,98.0,446.0,4.4,20.0,708.3,1.7,3.3,,2.0,60.0,0.05,0.08,1.0,,100.0,Olahan,Gula,DABM-1964
98,191,MP003,Coklat susu. batang,1.0,565,9.0,35.0,53.6,3.4,1.4,200.0,200.0,2.0,100.0,405.5,0.49,2.3,,54.0,30.0,0.08,0.45,0.5,,100.0,Olahan,Gula,DABM-1964
99,198,DR017,Daun bangun-bangun. segar,92.5,27,1.3,0.6,4.0,1.0,1.6,279.0,40.0,13.6,4.0,144.0,,,,1.489,13.288,0.16,0.1,,5.0,66.0,Tunggal,Sayur,KZGPI-1990
100,199,DR018,Daun bawang merah. segar,89.1,41,2.0,0.3,7.8,2.1,0.8,60.0,40.0,2.3,30.0,90.0,0.1,0.3,,218.0,,0.1,0.1,0.2,11.0,67.0,Tunggal,Sayur,KZGMI-2001
101,203,DR022,Daun gandaria. segar,81.0,63,3.1,0.3,14.0,2.1,1.6,40.0,45.0,4.7,3.0,127.7,,,,503.0,600.0,0.04,0.04,0.2,61.0,65.0,Tunggal,Sayur,DABM-1964
102,204,DR023,Daun gedi besar. segar,84.0,58,2.9,0.7,10.0,3.3,2.4,440.0,100.0,1.9,30.0,40.0,0.2,2.1,,596.0,,0.4,0.5,2.8,11.0,65.0,Tunggal,Sayur,KZGMI-2001
103,205,DR024,Daun gedi kecil. segar,83.7,61,3.2,0.7,10.4,3.4,2.0,420.0,70.0,1.7,20.0,50.0,0.1,1.4,,607.0,,0.4,0.3,2.9,11.0,65.0,Tunggal,Sayur,KZGMI-2001
104,206,DR025,Daun gelang. segar,90.3,30,1.3,0.7,5.8,1.3,1.9,350.0,210.0,11.9,5.0,333.3,0.31,1.2,,4.701,1.954,0.01,0.14,0.7,1.0,52.0,Tunggal,Sayur,KZGPI-1990
105,209,DR028,Daun jambu mete muda. segar,78.0,78,4.6,0.5,16.2,3.0,0.7,33.0,64.0,8.9,14.0,670.5,,,,4.484,2.689,0.02,1.12,1.1,65.0,65.0,Tunggal,Sayur,DABM-1964
106,211,DR030,Daun jawaw seluang. segar,77.2,93,5.0,1.3,15.3,3.9,1.2,146.0,103.0,5.3,2.0,434.0,0.5,1.5,,,,0.1,0.7,,9.0,,Tunggal,Sayur,KZGMI-2001
107,213,DR032,Daun kacang ma. segar,89.1,36,2.9,0.6,6.8,1.8,0.6,64.0,220.0,2.2,7.0,485.3,0.2,0.3,,2.893,4.377,0.04,0.18,1.2,4.0,33.0,Tunggal,Sayur,KZGPI-1990
108,214,DP004,Daun kacang panjang. kukus,87.2,40,3.7,0.3,8.0,1.8,0.8,111.0,66.0,3.7,6.0,419.5,0.2,0.3,,2.645,5.781,0.15,0.2,0.9,11.0,100.0,Olahan,Sayur,KZGPI-1990
109,215,DR033,Daun kacang panjang. segar,89.7,30,3.1,0.3,5.8,1.7,1.1,200.0,66.0,4.5,7.0,458.6,0.2,0.3,,2.734,4.592,0.33,0.2,1.1,30.0,65.0,Tunggal,Sayur,KZGPI-1990
110,216,DR034,Daun kasbi/singkong karet. segar,80.3,92,4.0,3.6,10.9,5.8,1.2,140.0,70.0,1.6,70.0,90.0,0.3,1.1,,4.046,,0.1,0.2,0.1,74.0,87.0,Tunggal,Sayur,KZGMI-2001
111,217,DP005,Daun katuk. rebus,83.3,53,5.3,0.9,9.1,1.2,1.4,185.0,102.0,3.1,16.0,291.3,0.3,1.3,,11.131,9.0,,0.3,2.2,66.0,100.0,Olahan,Sayur,KZGPI-1990
